segment,cod,asset,type,part,partAcum,theoricalQty
,ALOS3,ALLOS,ON      NM,"0,493",,476.976.044
,ABEV3,AMBEV S/A,ON,"2,756",,4.394.835.131
,ASAI3,ASSAI,ON      NM,"0,658",,1.345.897.506
,AURE3,AUREN,ON      NM,"0,144",,323.738.747
,AZZA3,AZZAS 2154,ON      NM,"0,238",,136.643.320
,B3SA3,B3,ON      NM,"3,548",,5.200.055.464
,BBSE3,BBSEGURIDADE,ON      NM,"1,058",,637.332.335
,BBDC3,BRADESCO,ON  EJ  N1,"0,973",,1.469.064.981
,BBDC4,BRADESCO,PN  EJ  N1,"3,940",,5.111.682.020
,BRAP4,BRADESPAR,PN      N1,"0,191",,250.982.988
,BBAS3,BRASIL,ON      NM,"2,873",,2.842.613.858
,BRKM5,BRASKEM,PNA     N1,"0,123",,265.388.400
,BRAV3,BRAVA,ON      NM,"0,384",,451.311.960
,BRFS3,BRF SA,ON      NM,"0,883",,832.617.717
,BPAC11,BTGP BANCO,UNT     N2,"2,496",,1.287.247.964
,CXSE3,CAIXA SEGURI,ON      NM,"0,409",,600.000.000
,CMIG4,CEMIG,PN      N1,"0,931",,1.858.636.840
,COGN3,COGNA ON,ON      NM,"0,243",,1.872.454.628
,CPLE6,COPEL,PNB     N2,"0,946",,1.671.982.390
,CSAN3,COSAN,ON      NM,"0,361",,1.160.227.510
,CPFE3,CPFL ENERGIA,ON      NM,"0,342",,187.732.538
,CMIN3,CSNMINERACAO,ON      N2,"0,389",,1.646.519.336
,CVCB3,CVC BRASIL,ON      NM,"0,050",,450.926.127
,CYRE3,CYRELA REALT,ON      NM,"0,312",,257.174.951
,DIRR3,DIRECIONAL,ON      NM,"0,207",,108.541.907
,ELET3,ELETROBRAS,ON      N1,"3,383",,1.808.652.474
,ELET6,ELETROBRAS,PNB     N1,"0,552",,268.875.696
,EMBR3,EMBRAER,ON      NM,"2,707",,734.631.701
,ENGI11,ENERGISA,UNT     N2,"0,717",,326.175.300
,ENEV3,ENEVA,ON      NM,"1,204",,1.907.494.195
,EGIE3,ENGIE BRASIL,ON      NM,"0,510",,255.236.938
,EQTL3,EQUATORIAL,ON      NM,"2,034",,1.244.304.866
,FLRY3,FLEURY,ON      NM,"0,276",,455.988.366
,GGBR4,GERDAU,PN      N1,"1,035",,1.308.152.318
,GOAU4,GERDAU MET,PN      N1,"0,277",,623.866.944
,HAPV3,HAPVIDA,ON      NM,"0,493",,311.217.208
,HYPE3,HYPERA,ON      NM,"0,460",,360.057.207
,IGTI11,IGUATEMI S.A,UNT     N1,"0,211",,198.474.750
,IRBR3,IRBBRASIL RE,ON      NM,"0,174",,81.838.243
,ISAE4,ISA ENERGIA,PN      N1,"0,426",,395.801.044
,ITSA4,ITAUSA,PN      N1,"2,953",,5.856.697.902
,ITUB4,ITAUUNIBANCO,PN  EJ  N1,"8,152",,4.757.320.048
,KLBN11,KLABIN S/A,UNT     N2,"0,668",,765.785.673
,RENT3,LOCALIZA,ON      NM,"1,682",,956.264.719
,LREN3,LOJAS RENNER,ON  EJ  NM,"0,942",,1.030.587.204
,MGLU3,MAGAZ LUIZA,ON      NM,"0,142",,353.448.195
,POMO4,MARCOPOLO,PN      N2,"0,255",,666.378.439
,MRFG3,MARFRIG,ON      NM,"0,253",,237.618.211
,BEEF3,MINERVA,ON      NM,"0,111",,433.214.256
,MOTV3,MOTIVA SA,ON      NM,"0,628",,991.920.937
,MRVE3,MRV,ON      NM,"0,106",,375.507.695
,MULT3,MULTIPLAN,ON      N2,"0,394",,314.311.970
,NATU3,NATURA,ON      NM,"0,405",,845.713.747
,PCAR3,P.ACUCAR-CBD,ON  ATZ NM,"0,069",,461.260.303
,PETR3,PETROBRAS,ON      N2,"4,687",,2.820.420.899
,PETR4,PETROBRAS,PN      N2,"6,717",,4.410.955.873
,RECV3,PETRORECSA,ON      NM,"0,180",,274.981.010
,PRIO3,PETRORIO,ON      NM,"1,564",,779.999.989
,PETZ3,PETZ,ON      NM,"0,052",,295.519.280
,PSSA3,PORTO SEGURO,ON      NM,"0,455",,182.560.698
,RADL3,RAIADROGASIL,ON  EJ  NM,"0,844",,1.297.567.800
,RAIZ4,RAIZEN,PN      N2,"0,092",,1.210.756.333
,RDOR3,REDE D OR,ON      NM,"1,836",,1.145.289.019
,RAIL3,RUMO S.A.,ON      NM,"1,001",,1.216.914.397
,SBSP3,SABESP,ON      NM,"3,655",,683.495.706
,SANB11,SANTANDER BR,UNT,"0,480",,356.586.730
,STBP3,SANTOS BRP,ON      NM,"0,267",,409.543.219
,SMTO3,SAO MARTINHO,ON      NM,"0,104",,128.130.966
,CSNA3,SID NACIONAL,ON,"0,272",,727.459.637
,SLCE3,SLC AGRICOLA,ON      NM,"0,165",,194.261.422
,SMFT3,SMART FIT,ON      NM,"0,354",,328.547.988
,SUZB3,SUZANO S.A.,ON      NM,"1,486",,630.821.784
