segment,cod,asset,type,part,partAcum,theoricalQty,data_pregao
,ALOS3,ALLOS,ON      NM,"0,494",,476.976.044,2025-07-11
,ABEV3,AMBEV S/A,ON,"2,754",,4.394.835.131,2025-07-11
,ASAI3,ASSAI,ON      NM,"0,651",,1.345.897.506,2025-07-11
,AURE3,AUREN,ON      NM,"0,143",,323.738.747,2025-07-11
,AZZA3,AZZAS 2154,ON      NM,"0,236",,136.643.320,2025-07-11
,B3SA3,B3,ON      NM,"3,466",,5.200.055.464,2025-07-11
,BBSE3,BBSEGURIDADE,ON      NM,"1,066",,637.332.335,2025-07-11
,BBDC3,BRADESCO,ON  EJ  N1,"0,966",,1.469.064.981,2025-07-11
,BBDC4,BRADESCO,PN  EJ  N1,"3,908",,5.111.682.020,2025-07-11
,BRAP4,BRADESPAR,PN      N1,"0,197",,250.982.988,2025-07-11
,BBAS3,BRASIL,ON      NM,"2,856",,2.842.613.858,2025-07-11
,BRKM5,BRASKEM,PNA     N1,"0,125",,265.388.400,2025-07-11
,BRAV3,BRAVA,ON      NM,"0,379",,451.311.960,2025-07-11
,BRFS3,BRF SA,ON      NM,"0,907",,832.617.717,2025-07-11
,BPAC11,BTGP BANCO,UNT     N2,"2,488",,1.287.247.964,2025-07-11
,CXSE3,CAIXA SEGURI,ON      NM,"0,414",,600.000.000,2025-07-11
,CMIG4,CEMIG,PN      N1,"0,950",,1.858.636.840,2025-07-11
,COGN3,COGNA ON,ON      NM,"0,245",,1.872.454.628,2025-07-11
,CPLE6,COPEL,PNB     N2,"0,944",,1.671.982.390,2025-07-11
,CSAN3,COSAN,ON      NM,"0,352",,1.160.227.510,2025-07-11
,CPFE3,CPFL ENERGIA,ON      NM,"0,340",,187.732.538,2025-07-11
,CMIN3,CSNMINERACAO,ON      N2,"0,402",,1.646.519.336,2025-07-11
,CVCB3,CVC BRASIL,ON      NM,"0,049",,450.926.127,2025-07-11
,CYRE3,CYRELA REALT,ON      NM,"0,309",,257.174.951,2025-07-11
,DIRR3,DIRECIONAL,ON      NM,"0,206",,108.541.907,2025-07-11
,ELET3,ELETROBRAS,ON      N1,"3,377",,1.808.652.474,2025-07-11
,ELET6,ELETROBRAS,PNB     N1,"0,554",,268.875.696,2025-07-11
,EMBR3,EMBRAER,ON      NM,"2,621",,734.631.701,2025-07-11
,ENGI11,ENERGISA,UNT     N2,"0,713",,326.175.300,2025-07-11
,ENEV3,ENEVA,ON      NM,"1,199",,1.907.494.195,2025-07-11
,EGIE3,ENGIE BRASIL,ON      NM,"0,511",,255.236.938,2025-07-11
,EQTL3,EQUATORIAL,ON      NM,"2,030",,1.244.304.866,2025-07-11
,FLRY3,FLEURY,ON      NM,"0,274",,455.988.366,2025-07-11
,GGBR4,GERDAU,PN      N1,"1,046",,1.308.152.318,2025-07-11
,GOAU4,GERDAU MET,PN      N1,"0,280",,623.866.944,2025-07-11
,HAPV3,HAPVIDA,ON      NM,"0,488",,311.217.208,2025-07-11
,HYPE3,HYPERA,ON      NM,"0,462",,360.057.207,2025-07-11
,IGTI11,IGUATEMI S.A,UNT     N1,"0,211",,198.474.750,2025-07-11
,IRBR3,IRBBRASIL RE,ON      NM,"0,173",,81.838.243,2025-07-11
,ISAE4,ISA ENERGIA,PN      N1,"0,428",,395.801.044,2025-07-11
,ITSA4,ITAUSA,PN      N1,"2,926",,5.856.697.902,2025-07-11
,ITUB4,ITAUUNIBANCO,PN      N1,"7,943",,4.757.320.048,2025-07-11
,KLBN11,KLABIN S/A,UNT     N2,"0,679",,765.785.673,2025-07-11
,RENT3,LOCALIZA,ON      NM,"1,733",,956.264.719,2025-07-11
,LREN3,LOJAS RENNER,ON  EJ  NM,"0,935",,1.030.587.204,2025-07-11
,MGLU3,MAGAZ LUIZA,ON      NM,"0,140",,353.448.195,2025-07-11
,POMO4,MARCOPOLO,PN      N2,"0,255",,666.378.439,2025-07-11
,MRFG3,MARFRIG,ON      NM,"0,270",,237.618.211,2025-07-11
,BEEF3,MINERVA,ON      NM,"0,111",,433.214.256,2025-07-11
,MOTV3,MOTIVA SA,ON      NM,"0,620",,991.920.937,2025-07-11
,MRVE3,MRV,ON      NM,"0,105",,375.507.695,2025-07-11
,MULT3,MULTIPLAN,ON      N2,"0,391",,314.311.970,2025-07-11
,NATU3,NATURA,ON      NM,"0,405",,845.713.747,2025-07-11
,PCAR3,P.ACUCAR-CBD,ON      NM,"0,069",,461.260.303,2025-07-11
,PETR3,PETROBRAS,ON      N2,"4,720",,2.820.420.899,2025-07-11
,PETR4,PETROBRAS,PN      N2,"6,736",,4.410.955.873,2025-07-11
,RECV3,PETRORECSA,ON      NM,"0,182",,274.981.010,2025-07-11
,PRIO3,PETRORIO,ON      NM,"1,545",,779.999.989,2025-07-11
,PETZ3,PETZ,ON      NM,"0,052",,295.519.280,2025-07-11
,PSSA3,PORTO SEGURO,ON      NM,"0,459",,182.560.698,2025-07-11
,RADL3,RAIADROGASIL,ON  EJ  NM,"0,857",,1.297.567.800,2025-07-11
,RAIZ4,RAIZEN,PN      N2,"0,091",,1.210.756.333,2025-07-11
,RDOR3,REDE D OR,ON      NM,"1,834",,1.145.289.019,2025-07-11
,RAIL3,RUMO S.A.,ON      NM,"0,990",,1.216.914.397,2025-07-11
,SBSP3,SABESP,ON      NM,"3,626",,683.495.706,2025-07-11
,SANB11,SANTANDER BR,UNT,"0,472",,356.586.730,2025-07-11
,STBP3,SANTOS BRP,ON      NM,"0,267",,409.543.219,2025-07-11
,SMTO3,SAO MARTINHO,ON      NM,"0,104",,128.130.966,2025-07-11
,CSNA3,SID NACIONAL,ON,"0,287",,727.459.637,2025-07-11
,SLCE3,SLC AGRICOLA,ON      NM,"0,167",,194.261.422,2025-07-11
,SMFT3,SMART FIT,ON      NM,"0,354",,328.547.988,2025-07-11
,SUZB3,SUZANO S.A.,ON      NM,"1,490",,630.821.784,2025-07-11
,TAEE11,TAESA,UNT     N2,"0,354",,218.568.234,2025-07-11
,VIVT3,TELEF BRASIL,ON,"1,159",,764.884.256,2025-07-11
,TIMS3,TIM,ON  EBG NM,"0,822",,806.346.600,2025-07-11
,TOTS3,TOTVS,ON      NM,"1,047",,531.531.039,2025-07-11
,UGPA3,ULTRAPAR,ON      NM,"0,904",,1.089.082.981,2025-07-11
,USIM5,USIMINAS,PNA     N1,"0,105",,515.193.199,2025-07-11
,VALE3,VALE,ON      NM,"11,183",,4.270.903.023,2025-07-11
,VAMO3,VAMOS,ON      NM,"0,092",,485.166.826,2025-07-11
,VBBR3,VIBRA,ON      NM,"1,166",,1.113.939.036,2025-07-11
,VIVA3,VIVARA S.A.,ON      NM,"0,153",,123.160.591,2025-07-11
,WEGE3,WEG,ON      NM,"2,801",,1.482.105.837,2025-07-11
,YDUQ3,YDUQS PART,ON      NM,"0,185",,260.249.057,2025-07-11
